CODE,NAME,AVERAGE_RAINFALL_BY_COUNTRY
US,United States,25.435777749667793
NO,Norway,32.69674246645266
MX,Mexico,25.07631845791543
PO,Portugal,32.34201503871392
PK,Pakistan,18.11870833376578
UK,United Kingdom,24.780701794022537
SI,Slovenia,38.35360337557361
IN,India,33.77886080967596
CU,Cuba,32.95419177012952
MU,Oman,9.19760773390136
TX,Turkmenistan,5.061108450717928
BH,Belize,64.0936385255648
VQ,Virgin Islands [United States],29.26344180394275
BR,Brazil,34.38767040453853
MK,Macedonia,19.065602728878602
BP,Solomon Islands,78.27228564488705
LG,Latvia,18.69378510876223
GR,Greece,17.315518330175824
GQ,Guam [United States],66.4817922881382
RI,Serbia,17.541816274189788
IC,Iceland,31.7039279066076
FS,French Southern and Antarctic Lands [France],42.53770470153196
AY,Antarctica,20.744357929508396
BL,Bolivia,60.90180034837159
FG,French Guiana [France],88.01421106296202
TZ,Tanzania,33.11584775598538
SN,Singapore,64.14071700081986
TD,Trinidad and Tobago,46.23613365800866
PE,Peru,30.32209398228547
JM,Jamaica,34.392476895638545
ZI,Zimbabwe,22.43200726062623
CM,Cameroon,93.08314832434718
TO,Togo,43.9273065163959
EG,Egypt,2.1217502037489813
CD,Chad,24.061873163587
KZ,Kazakhstan,7.971515118509405
ML,Mali,41.37526197055251
ER,Eritrea,8.603728780926097
GA,"Gambia, The",64.6343759489827
CG,Congo (Kinshasa),76.87264348554672
BB,Barbados,47.0155771195097
NE,Niue [New Zealand],57.17353453279164
BM,Burma,91.89478371501272
KT,Christmas Island [Australia],5.48559670781893
MQ,Midway Islands [United States},29.358251317778024
PM,Panama,72.69499501716311
LQ,Palmyra Atoll [United States],111.69745523091423
